course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
244 ريض,الجبر الخطي,13702,محاضرة,3,ذكر,['135'],['11:45-12:50'],1,1444-11-22,01:00 م - 04:00 م,['منصور علي عبدالله اليزيدي']
244 ريض,الجبر الخطي,13703,تمارين,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,81481,محاضرة,3,ذكر,['135'],['08:00-09:05'],1,1444-11-22,01:00 م - 04:00 م,['تركى محمد عبدالله السريهيد']
244 ريض,الجبر الخطي,81482,تمارين,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82714,محاضرة,3,ذكر,['135'],['08:00-09:05'],1,1444-11-22,01:00 م - 04:00 م,['ماجد عبدالمحسن صالح المبارك']
244 ريض,الجبر الخطي,82715,تمارين,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82716,محاضرة,3,ذكر,['135'],['09:15-10:20'],1,1444-11-22,01:00 م - 04:00 م,['ماجد عبدالمحسن صالح المبارك']
244 ريض,الجبر الخطي,82717,تمارين,ذكر,مغلقة,"['1', '1']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82718,محاضرة,3,ذكر,['135'],['10:30-11:35'],1,1444-11-22,01:00 م - 04:00 م,['تركى محمد عبدالله السريهيد']
244 ريض,الجبر الخطي,82719,تمارين,ذكر,مغلقة,"['2', '2']","['04:00-05:05', '05:15-06:20']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82720,محاضرة,3,ذكر,['135'],['10:30-11:35'],1,1444-11-22,01:00 م - 04:00 م,['خالد حمد عبدالله الشعلان']
244 ريض,الجبر الخطي,82721,تمارين,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82722,محاضرة,3,ذكر,['135'],['09:15-10:20'],1,1444-11-22,01:00 م - 04:00 م,['تركى محمد عبدالله السريهيد']
244 ريض,الجبر الخطي,82723,تمارين,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82724,محاضرة,3,ذكر,['135'],['09:15-10:20'],1,1444-11-22,01:00 م - 04:00 م,['خالد حمد عبدالله الشعلان']
244 ريض,الجبر الخطي,82725,تمارين,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82726,محاضرة,3,ذكر,['135'],['11:45-12:50'],1,1444-11-22,01:00 م - 04:00 م,['اخلاق احمد سديقي اشتياق احمد سديقي']
244 ريض,الجبر الخطي,82727,تمارين,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82728,محاضرة,3,ذكر,['135'],['01:30-02:35'],1,1444-11-22,01:00 م - 04:00 م,['نجم الدين بن محمد الشرفي']
244 ريض,الجبر الخطي,82729,تمارين,ذكر,مغلقة,"['2', '2']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
244 ريض,الجبر الخطي,82730,محاضرة,3,ذكر,['135'],['10:30-11:35'],1,1444-11-22,01:00 م - 04:00 م,['محمد البوصيرى محمد جلالي']
244 ريض,الجبر الخطي,82731,تمارين,ذكر,مغلقة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
212 عال,تراكيب البيانات,12306,محاضرة,3,ذكر,['135'],['10:30-11:35'],2,1444-12-01,01:00 م - 04:00 م,['ناصر عبدالله صالح السدحان']
212 عال,تراكيب البيانات,12307,تمارين,ذكر,مفتوحة,['5'],['01:30-02:35'],---,---,---,['ناصر عبدالله صالح السدحان']
212 عال,تراكيب البيانات,12308,محاضرة,3,ذكر,['135'],['11:45-12:50'],2,1444-12-01,01:00 م - 04:00 م,['ناصر عبدالله صالح السدحان']
212 عال,تراكيب البيانات,12309,تمارين,ذكر,مغلقة,['3'],['01:30-02:35'],---,---,---,['ناصر عبدالله صالح السدحان']
212 عال,تراكيب البيانات,12312,محاضرة,3,ذكر,['135'],['09:15-10:20'],2,1444-12-01,01:00 م - 04:00 م,['محمد عبدالله عبدالرحمن الزيد']
212 عال,تراكيب البيانات,12313,تمارين,ذكر,مغلقة,['5'],['08:00-09:05'],---,---,---,['محمد عبدالله عبدالرحمن الزيد']
212 عال,تراكيب البيانات,32637,محاضرة,3,ذكر,['135'],['09:15-10:20'],2,1444-12-01,01:00 م - 04:00 م,['محمد عبدالله محمد الضلعان']
212 عال,تراكيب البيانات,32638,تمارين,ذكر,مغلقة,['1'],['01:30-02:35'],---,---,---,['محمد عبدالله محمد الضلعان']
324 نال,الأساليب الحديثة لبرمجة التطبيقات,12536,محاضرة,3,ذكر,"['2', '2']","['10:30-11:35', '11:45-12:50']",3,1444-11-24,08:00 ص - 11:00 ص,['عبدالعزيز صالح على المصلوخ']
324 نال,الأساليب الحديثة لبرمجة التطبيقات,12537,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالعزيز صالح على المصلوخ']
324 نال,الأساليب الحديثة لبرمجة التطبيقات,12538,محاضرة,3,ذكر,"['2', '2']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,08:00 ص - 11:00 ص,['عبدالعزيز صالح على المصلوخ']
324 نال,الأساليب الحديثة لبرمجة التطبيقات,12539,عملي,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالعزيز صالح على المصلوخ']
370 نال,تراسل البيانات وشبكات الحاسب,12526,محاضرة,3,ذكر,['135'],['10:30-11:35'],2,1444-12-01,01:00 م - 04:00 م,['محمد شعيب رحيم الدين']
370 نال,تراسل البيانات وشبكات الحاسب,12527,تمارين,ذكر,مغلقة,['2'],['02:45-03:50'],---,---,---,['مراد بن شيخ']
361 عال,الذكاء الاصطناعي,11453,محاضرة,3,ذكر,"['24', '2']","['08:00-09:05', '09:15-10:20']",2,1444-12-01,01:00 م - 04:00 م,['احمد جعفر الفنوش الشبلي']
361 عال,الذكاء الاصطناعي,11454,تمارين,ذكر,مغلقة,['4'],['09:15-10:20'],---,---,---,['احمد جعفر الفنوش الشبلي']
361 عال,الذكاء الاصطناعي,35561,محاضرة,3,ذكر,"['24', '2']","['10:30-11:35', '11:45-12:50']",2,1444-12-01,01:00 م - 04:00 م,['يوسف احمد محمد العوهلى']
361 عال,الذكاء الاصطناعي,35562,تمارين,ذكر,مغلقة,['4'],['11:45-12:50'],---,---,---,['يوسف احمد محمد العوهلى']
999 نال,التدريب العملي,85866,تدريب,1,ذكر,[''],[],---,---,---,['لم يحدد من الكلية']
113 عال,برمجة حاسبات -2-,11401,محاضرة,4,ذكر,"['24', '2']","['01:30-02:35', '02:45-03:50']",7,1444-11-21,01:00 م - 04:00 م,['محمد احمد محمد القعود']
113 عال,برمجة حاسبات -2-,11402,تمارين,ذكر,مفتوحة,['4'],['02:45-03:50'],---,---,---,['محمد احمد محمد القعود']
113 عال,برمجة حاسبات -2-,77951,عملي,ذكر,مغلقة,"['4', '4']","['04:00-05:05', '05:15-06:20']",---,---,---,['موداسار ايوب شيخ محمد']
