course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
104 فيز,فيزياء عامه (2),81703,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81704,محاضرة,4,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81706,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81705,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81707,محاضرة,4,ذكر,"['24', '2']","['10:30-11:35', '11:45-12:50']",2,1444-11-23,08:00 ص - 11:00 ص,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81709,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81708,عملي,ذكر,مغلقة,"['5', '5']","['01:30-02:35', '02:45-03:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),82652,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['عبدالله محارب سيحان الظفيري']
104 فيز,فيزياء عامه (2),82654,عملي,ذكر,مغلقة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['نياز احمد مظهر']
104 فيز,فيزياء عامه (2),82653,عملي,ذكر,مغلقة,"['1', '1']","['01:30-02:35', '02:45-03:50']",---,---,---,['احمد محمد احمد سجيع']
