course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
101 كيح,كيمياء حيوية عامة,82125,عملي,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['عبدالغني عبدالاله عبدالغني بن نفيسه']
101 كيح,كيمياء حيوية عامة,82124,عملي,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['فهد عبدالرحمن حمد بن شاهين']
101 كيح,كيمياء حيوية عامة,82126,محاضرة,4,ذكر,['135'],['08:00-09:05'],3,1444-11-24,01:00 م - 04:00 م,['محمد سعد محمد داود']
101 كيح,كيمياء حيوية عامة,82128,عملي,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالله بن عبدالرحمن بن عبدالله الضويلع']
101 كيح,كيمياء حيوية عامة,82127,عملي,ذكر,مفتوحة,"['4', '4']","['08:00-09:05', '09:15-10:20']",---,---,---,['عبدالعزيز بن عبدالله بن محمد ال الدهيس العمري']
101 كيح,كيمياء حيوية عامة,87658,محاضرة,4,ذكر,"['2', '24']","['08:00-09:05', '09:15-10:20']",3,1444-11-24,01:00 م - 04:00 م,['فريد شكرى عطايا عطايا']
101 كيح,كيمياء حيوية عامة,87659,عملي,ذكر,مفتوحة,"['1', '1']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
101 كيح,كيمياء حيوية عامة,87660,عملي,ذكر,مفتوحة,"['1', '1']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
230 نال,اسس قواعد البيانات,12451,محاضرة,3,ذكر,"['4', '24']","['08:00-09:05', '09:15-10:20']",1,1444-11-29,08:00 ص - 11:00 ص,['يزيد ابراهيم عبدالعزيز العبدالكريم']
230 نال,اسس قواعد البيانات,12452,تمارين,ذكر,مفتوحة,['2'],['08:00-09:05'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,14055,محاضرة,3,ذكر,"['24', '4']","['08:00-09:05', '09:15-10:20']",1,1444-11-29,08:00 ص - 11:00 ص,['حمد عبدالرحمن عبدالله الصالح']
230 نال,اسس قواعد البيانات,14056,تمارين,ذكر,مفتوحة,['2'],['09:15-10:20'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,35583,محاضرة,3,ذكر,"['4', '24']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['يزيد ابراهيم عبدالعزيز العبدالكريم']
230 نال,اسس قواعد البيانات,35584,تمارين,ذكر,مفتوحة,['2'],['10:30-11:35'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,64230,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['حمد عبدالرحمن عبدالله الصالح']
230 نال,اسس قواعد البيانات,64231,تمارين,ذكر,مفتوحة,['2'],['11:45-12:50'],---,---,---,['عبدالعزيز عبدالرحمن عبدالعزيز الهدلق']
230 نال,اسس قواعد البيانات,86741,محاضرة,3,ذكر,"['24', '4']","['10:30-11:35', '11:45-12:50']",1,1444-11-29,08:00 ص - 11:00 ص,['مراد بن شيخ']
230 نال,اسس قواعد البيانات,86742,تمارين,ذكر,مفتوحة,['2'],['11:45-12:50'],---,---,---,['مراد بن شيخ']
104 فيز,فيزياء عامه (2),81665,محاضرة,4,ذكر,['135'],['09:15-10:20'],2,1444-11-23,08:00 ص - 11:00 ص,['هادى رسام هادى القحطانى']
104 فيز,فيزياء عامه (2),81667,عملي,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81666,عملي,ذكر,مفتوحة,"['2', '2']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81668,محاضرة,4,ذكر,['135'],['08:00-09:05'],2,1444-11-23,08:00 ص - 11:00 ص,['هادى رسام هادى القحطانى']
104 فيز,فيزياء عامه (2),81670,عملي,ذكر,مفتوحة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81669,عملي,ذكر,مفتوحة,"['2', '2']","['08:00-09:05', '09:15-10:20']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81671,محاضرة,4,ذكر,['135'],['11:45-12:50'],2,1444-11-23,08:00 ص - 11:00 ص,['ايمن محمد حمد السماعيل']
104 فيز,فيزياء عامه (2),81672,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81673,عملي,ذكر,مفتوحة,"['4', '4']","['10:30-11:35', '11:45-12:50']",---,---,---,['لم يحدد من الكلية']
104 فيز,فيزياء عامه (2),81674,محاضرة,4,ذكر,['135'],['10:30-11:35'],2,1444-11-23,08:00 ص - 11:00 ص,['ابراهيم خالد ابراهيم النملة']
